Tick 2(0), Delay 2313 ms, IGT 00:00.000, RTA 00:-2.-313-00:00.000, due world load
Tick 3(1), Delay 109 ms, IGT 00:00.005, RTA 00:00.-99-00:00.010
Tick 4(2), Delay 6 ms, IGT 00:00.055, RTA 00:00.010-00:00.016
Tick 5(3), Delay 13 ms, IGT 00:00.105, RTA 00:00.016-00:00.029
Tick 8(6), Delay 73 ms, IGT 00:00.255, RTA 00:00.122-00:00.195
Tick 9(7), Delay 26 ms, IGT 00:00.305, RTA 00:00.195-00:00.221
Tick 13(11), Delay 62 ms, IGT 00:00.505, RTA 00:00.371-00:00.433
Tick 14(12), Delay 41 ms, IGT 00:00.555, RTA 00:00.433-00:00.474
Tick 328(326), Delay 44 ms, IGT 00:16.255, RTA 00:16.128-00:16.172
Tick 504(501), Delay 15070 ms, IGT 00:25.005, RTA 00:24.922-00:39.992
Tick 505(501), Delay 267 ms, IGT 00:25.005, RTA 00:39.992-00:40.259, due world load
Tick 506(501), Delay 3 ms, IGT 00:25.005, RTA 00:40.259-00:40.262, due world load
Tick 507(501), Delay 1 ms, IGT 00:25.005, RTA 00:40.262-00:40.263, due world load
Tick 508(501), Delay 0 ms, IGT 00:25.005, RTA 00:40.263-00:40.263, due world load
Tick 509(501), Delay 2 ms, IGT 00:25.005, RTA 00:40.263-00:40.265, due world load
Tick 510(501), Delay 11 ms, IGT 00:25.005, RTA 00:40.265-00:40.276, due world load
Tick 517(508), Delay 73 ms, IGT 00:25.310, RTA 00:40.579-00:40.652
Tick 518(509), Delay 25 ms, IGT 00:25.360, RTA 00:40.652-00:40.677
Tick 707(698), Delay 64 ms, IGT 00:34.810, RTA 00:50.077-00:50.141
Tick 708(699), Delay 36 ms, IGT 00:34.860, RTA 00:50.141-00:50.177
Tick 861(852), Delay 45 ms, IGT 00:42.510, RTA 00:57.780-00:57.825
Tick 862(853), Delay 55 ms, IGT 00:42.560, RTA 00:57.825-00:57.880
Tick 908(899), Delay 45 ms, IGT 00:44.860, RTA 01:00.131-01:00.176
Tick 1230(1221), Delay 69 ms, IGT 01:00.960, RTA 01:16.227-01:16.296
Tick 1231(1222), Delay 31 ms, IGT 01:01.010, RTA 01:16.296-01:16.327
Tick 2609(2600), Delay 55 ms, IGT 02:09.910, RTA 02:25.175-02:25.230
Tick 2696(2687), Delay 56 ms, IGT 02:14.260, RTA 02:29.528-02:29.584
Tick 2697(2688), Delay 44 ms, IGT 02:14.310, RTA 02:29.584-02:29.628
Tick 4305(4296), Delay 55 ms, IGT 03:34.710, RTA 03:49.975-03:50.030
Tick 4467(4458), Delay 55 ms, IGT 03:42.810, RTA 03:58.075-03:58.130
Tick 4503(4494), Delay 60 ms, IGT 03:44.610, RTA 03:59.877-03:59.937
Tick 4504(4495), Delay 41 ms, IGT 03:44.660, RTA 03:59.937-03:59.978
Tick 6243(6234), Delay 57 ms, IGT 05:11.610, RTA 05:26.878-05:26.935
Tick 6244(6235), Delay 40 ms, IGT 05:11.660, RTA 05:26.935-05:26.975
Tick 7908(7899), Delay 55 ms, IGT 06:34.860, RTA 06:50.125-06:50.180
