No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
1    00:25.005      00:24.927      00:40.322      15.395                Paused by leave the world, Unpause by moved mouse
2    13:52.460      14:07.815      15:08.085      60.270     60.270     Paused by player, Unpause by player
3    14:49.460      16:05.097      16:09.989      4.892      4.892      Paused by player, Unpause by player
4    15:46.810      17:07.364      17:13.040      5.676      5.676      Paused by player, Unpause by player
5    15:50.610      17:16.823      17:18.300      1.477      1.477      Paused by player, Unpause by player
6    17:10.710      18:38.397      18:58.859      20.462     20.462     Paused by player, Unpause by player
7    25:05.610      26:53.732      27:19.969      26.237     26.237     Paused by player, Unpause by player
8    25:07.510      27:21.856      27:31.867      10.011     10.011     Paused by player, Unpause by player
9    25:09.610      27:33.973      27:36.660      2.687      2.687      Paused by player, Unpause by player
10   25:10.010      27:37.049      27:50.351      13.302     13.302     Paused by player, Unpause by player
11   25:15.360      27:55.685      29:06.891      71.206     71.206     Paused by player, Unpause by player
12   25:16.660      29:08.171      29:33.854      25.683     25.683     Paused by player, Unpause by player
13   25:17.560      29:34.750      30:20.414      45.664     45.664     Paused by player, Unpause by player
14   25:34.610      30:37.466      30:43.433      5.967      5.967      Paused by player, Unpause by player
1    25:59.860      31:08.664      31:16.516      7.852                 Paused by leave the world, Unpause by rendered
2    26:39.607      31:56.267      32:35.505      39.238     39.238     Paused by player, Unpause by player
3    26:43.157      32:39.020      32:58.339      19.319     19.319     Paused by player, Unpause by player
4    27:21.807      33:36.983      33:38.161      1.178      1.178      Paused by player, Unpause by player
5    27:22.307      33:38.629      33:39.452      0.823      0.823      Paused by player, Unpause by player
0    28:51.557      35:08.721      40:54.818      346.097               Paused by player, Unpause by rendered
1    29:13.740      41:16.983      41:35.504      18.521     18.521     Paused by player, Unpause by player
2    29:17.290      41:39.018      41:47.483      8.465      8.465      Paused by player, Unpause by player
3    29:20.740      41:50.932      41:53.995      3.063      3.063      Paused by player, Unpause by player
4    29:21.540      41:54.777      42:01.488      6.711      6.711      Paused by player, Unpause by player
5    29:44.290      42:24.216      42:33.193      8.977      8.977      Paused by player, Unpause by player
6    29:48.690      42:37.593      42:44.781      7.188      7.188      Paused by player, Unpause by player
7    29:49.490      42:45.543      42:45.871      0.328      0.328      Paused by player, Unpause by player
8    30:09.290      43:05.657      43:15.375      9.718      9.718      Paused by player, Unpause by player
9    30:14.940      43:20.990      43:23.461      2.471      2.471      Paused by player, Unpause by player
10   30:19.540      43:28.055      43:31.544      3.489      3.489      Paused by player, Unpause by player
11   30:20.240      43:32.198      43:34.766      2.568      2.568      Paused by player, Unpause by player
12   30:25.940      43:40.453      43:43.997      3.544      3.544      Paused by player, Unpause by player
13   30:43.490      44:01.542      44:03.710      2.168      2.168      Paused by player, Unpause by player
14   30:52.490      44:12.685      44:15.781      3.096      3.096      Paused by player, Unpause by player
15   30:59.240      44:22.509      44:24.809      2.300      2.300      Paused by player, Unpause by player
16   31:06.190      44:31.736      44:34.662      2.926      2.926      Paused by player, Unpause by player
17   31:09.590      44:38.064      44:44.153      6.089      6.089      Paused by player, Unpause by player
0    31:09.740      44:44.276      45:07.833      23.557                Paused by player, Unpause by changed look direction
1    31:12.401      45:10.486      45:12.655      2.169      2.169      Paused by player, Unpause by player
2    31:14.501      45:14.728      45:16.287      1.559      1.559      Paused by player, Unpause by player
3    31:17.351      45:19.108      45:19.794      0.686      0.686      Paused by player, Unpause by player
4    31:18.601      45:21.027      45:21.523      0.496      0.496      Paused by player, Unpause by player
5    31:19.551      45:22.461      45:26.738      4.277      4.277      Paused by player, Unpause by player
6    31:20.501      45:27.652      45:47.177      19.525     19.525     Paused by player, Unpause by player
7    31:21.151      45:47.817      45:48.234      0.417      0.417      Paused by player, Unpause by player
8    31:21.501      45:48.556      45:58.199      9.643      9.643      Paused by player, Unpause by player
9    31:22.251      45:58.930      46:09.216      10.286     10.286     Paused by player, Unpause by player
10   31:22.601      46:09.560      46:09.960      0.400      0.400      Paused by player, Unpause by player
11   31:40.801      46:28.151      46:39.009      10.858     10.858     Paused by player, Unpause by player
12   31:54.501      46:52.698      46:56.971      4.273      4.273      Paused by player, Unpause by player
13   32:10.851      47:13.282      47:13.644      0.362      0.362      Paused by player, Unpause by player
14   32:11.601      47:14.395      47:23.482      9.087      9.087      Paused by player, Unpause by player
15   32:18.001      47:29.846      47:30.551      0.705      0.705      Paused by player, Unpause by player
16   32:18.601      47:31.110      47:31.884      0.774      0.774      Paused by player, Unpause by player
17   32:18.751      47:32.020      47:37.413      5.393      5.393      Paused by player, Unpause by player
0    32:18.951      47:37.635      48:02.896      25.261                Paused by player, Unpause by rendered
1    32:20.038      48:03.964      48:04.288      0.324      0.324      Paused by player, Unpause by player
2    32:20.788      48:05.036      48:15.357      10.321     10.321     Paused by player, Unpause by player
3    32:32.038      48:26.586      48:33.689      7.103      7.103      Paused by player, Unpause by player
4    32:39.838      48:41.463      48:44.989      3.526      3.526      Paused by player, Unpause by player
5    32:40.938      48:46.089      48:47.946      1.857      1.857      Paused by player, Unpause by player
6    32:51.188      48:58.189      49:06.150      7.961      7.961      Paused by player, Unpause by player
7    32:52.438      49:07.378      49:11.017      3.639      3.639      Paused by player, Unpause by player
8    33:03.638      49:22.209      49:23.230      1.021      1.021      Paused by player, Unpause by player
9    33:16.438      49:36.001      49:36.644      0.643      0.643      Paused by player, Unpause by player
10   33:17.988      49:38.174      49:42.971      4.797      4.797      Paused by player, Unpause by player
11   33:20.188      49:45.155      49:48.719      3.564      3.564      Paused by player, Unpause by player
12   33:38.438      50:06.938      50:14.081      7.143      7.143      Paused by player, Unpause by player
13   33:39.438      50:15.055      50:15.472      0.417      0.417      Paused by player, Unpause by player
14   33:40.038      50:16.034      50:34.403      18.369     18.369     Paused by player, Unpause by player
15   33:53.338      50:47.694      50:54.468      6.774      6.774      Paused by player, Unpause by player
16   34:04.888      51:05.987      51:12.041      6.054      6.054      Paused by player, Unpause by player
17   34:06.438      51:13.559      51:14.792      1.233      1.233      Paused by player, Unpause by player
18   34:12.788      51:21.127      51:21.939      0.812      0.812      Paused by player, Unpause by player
19   34:19.038      51:28.166      51:28.624      0.458      0.458      Paused by player, Unpause by player
20   34:23.388      51:32.939      51:36.579      3.640      3.640      Paused by player, Unpause by player
21   34:24.238      51:37.407      51:42.349      4.942      4.942      Paused by player, Unpause by player
22   34:25.838      51:43.932      51:44.705      0.773      0.773      Paused by player, Unpause by player
23   34:27.938      51:46.770      51:47.092      0.322      0.322      Paused by player, Unpause by player
24   34:28.688      51:47.834      51:48.763      0.929      0.929      Paused by player, Unpause by player
25   34:31.038      51:51.093      51:57.371      6.278      6.278      Paused by player, Unpause by player
26   34:31.438      51:57.756      51:59.245      1.489      1.489      Paused by player, Unpause by player
27   34:56.188      52:23.992      52:31.507      7.515      7.515      Paused by player, Unpause by player
28   34:56.838      52:32.155      52:57.224      25.069     20.069     Paused by player, Unpause by player / changed option
29   37:03.488      55:03.879      55:04.257      0.378      0.378      Paused by player, Unpause by player
30   45:36.638      1:03:37.389    1:03:40.077    2.688      2.688      Paused by player, Unpause by player
31   45:43.088      1:03:46.521    1:03:52.754    6.233      6.233      Paused by player, Unpause by player
32   45:45.788      1:03:55.417    1:03:55.857    0.440      0.440      Paused by player, Unpause by player
33   45:58.388      1:04:08.450    1:04:08.987    0.537      0.537      Paused by player, Unpause by player
34   46:03.238      1:04:13.823    1:04:16.000    2.177      2.177      Paused by player, Unpause by player
35   46:36.588      1:04:49.308    1:04:57.099    7.791      7.791      Paused by player, Unpause by player
36   50:42.138      1:09:02.623    1:09:05.783    3.160      3.160      Paused by player, Unpause by player
37   50:46.338      1:09:09.945    1:09:13.229    3.284      3.284      Paused by player, Unpause by player
38   50:50.638      1:09:17.509    1:09:18.564    1.055      1.055      Paused by player, Unpause by player
39   50:51.238      1:09:19.138    1:09:21.200    2.062      2.062      Paused by player, Unpause by player
40   52:20.038      1:10:49.961    1:10:54.018    4.057      4.057      Paused by player, Unpause by player
41   53:30.088      1:12:04.074    1:12:09.689    5.615      5.615      Paused by player, Unpause by player
42   55:37.638      1:14:17.227    1:14:29.457    12.230     12.230     Paused by player, Unpause by player
43   57:45.588      1:16:37.365    1:16:39.032    1.667      1.667      Paused by player, Unpause by player
44   57:47.388      1:16:40.823    1:16:46.139    5.316      5.316      Paused by player, Unpause by player
45   58:30.988      1:17:29.714    1:17:33.871    4.157      4.157      Paused by player, Unpause by player
46   59:11.588      1:18:14.442    1:18:33.088    18.646     18.646     Paused by player, Unpause by player
47   1:05:02.988    1:24:24.465    1:24:30.048    5.583      5.583      Paused by player, Unpause by player
48   1:05:48.938    1:25:16.033    1:25:16.450    0.417      0.417      Paused by player, Unpause by player
49   1:05:57.088    1:25:24.610    1:51:19.231    1554.621   1554.621   Paused by player, Unpause by player
50   1:08:09.188    1:53:31.333    1:54:08.034    36.701     36.701     Paused by player, Unpause by player
51   1:11:03.038    1:57:01.884    1:57:15.869    13.985     13.985     Paused by player, Unpause by player
52   1:11:17.588    1:57:30.387    1:57:31.096    0.709      0.709      Paused by player, Unpause by player
53   1:11:18.438    1:57:31.906    1:57:43.983    12.077     12.077     Paused by player, Unpause by player
54   1:11:18.588    1:57:44.153    1:57:44.476    0.323      0.323      Paused by player, Unpause by player
55   1:11:20.638    1:57:46.485    1:58:09.652    23.167     23.167     Paused by player, Unpause by player
56   1:12:34.638    1:59:23.645    1:59:26.999    3.354      3.354      Paused by player, Unpause by player
57   1:12:43.638    1:59:35.988    1:59:45.811    9.823      9.823      Paused by player, Unpause by player
58   1:14:15.488    2:01:17.644    2:01:21.476    3.832      3.832      Paused by player, Unpause by player
59   1:14:26.888    2:01:32.874    2:01:36.701    3.827      3.827      Paused by player, Unpause by player
60   1:18:44.538    2:05:54.309    2:05:59.107    4.798      4.798      Paused by player, Unpause by player
61   1:18:45.888    2:06:00.416    2:06:07.987    7.571      7.571      Paused by player, Unpause by player
62   1:19:00.788    2:06:22.875    2:06:27.267    4.392      4.392      Paused by player, Unpause by player
63   1:19:04.738    2:06:31.210    2:06:35.663    4.453      4.453      Paused by player, Unpause by player
64   1:20:34.288    2:08:05.205    2:08:07.379    2.174      2.174      Paused by player, Unpause by player
65   1:20:38.088    2:08:11.148    2:08:12.887    1.739      1.739      Paused by player, Unpause by player
66   1:20:41.838    2:08:16.615    2:08:19.945    3.330      3.330      Paused by player, Unpause by player
67   1:20:47.438    2:08:25.547    2:08:29.503    3.956      3.956      Paused by player, Unpause by player
68   1:24:25.088    2:12:07.139    2:13:30.895    83.756     83.756     Paused by player, Unpause by player
69   1:24:52.238    2:13:58.065    2:14:16.615    18.550     18.550     Paused by player, Unpause by player
70   1:24:53.538    2:14:17.896    2:14:20.478    2.582      2.582      Paused by player, Unpause by player
71   1:24:56.038    2:14:22.932    2:14:23.878    0.946      0.946      Paused by player, Unpause by player
72   1:25:37.688    2:15:05.495    2:15:07.881    2.386      2.386      Paused by player, Unpause by player
73   1:27:14.838    2:16:44.999    2:16:46.309    1.310      1.310      Paused by player, Unpause by player
74   1:28:07.488    2:17:38.917    2:17:42.915    3.998      3.998      Paused by player, Unpause by player
75   1:28:08.238    2:17:43.629    2:18:02.209    18.580     18.580     Paused by player, Unpause by player
76   1:28:16.938    2:18:10.891    2:18:19.954    9.063      9.063      Paused by player, Unpause by player
77   1:28:21.138    2:18:24.123    2:18:25.224    1.101      1.101      Paused by player, Unpause by player
78   1:28:22.238    2:18:26.292    2:18:26.864    0.572      0.572      Paused by player, Unpause by player
1    1:28:25.438    2:18:30.094    2:18:37.791    7.697                 Paused by leave the world, Unpause by rendered
2    1:28:31.942    2:18:44.297    2:18:45.181    0.884      0.884      Paused by player, Unpause by player
3    1:28:34.992    2:18:48.196    2:18:48.867    0.671      0.671      Paused by player, Unpause by player
4    1:28:35.192    2:18:49.065    2:18:49.427    0.362      0.362      Paused by player, Unpause by player
5    1:28:43.642    2:18:57.894    2:19:12.137    14.243     14.243     Paused by player, Unpause by player
6    1:28:46.092    2:19:14.576    2:21:57.645    163.069    163.069    Paused by player, Unpause by player
7    1:29:08.342    2:22:19.871    2:23:07.143    47.272     47.272     Paused by player, Unpause by player
8    1:29:11.042    2:23:09.845    2:23:11.917    2.072      2.072      Paused by player, Unpause by player
9    1:29:29.942    2:23:30.799    2:24:13.824    43.025     43.025     Paused by player, Unpause by player
